date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:56	296/296	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:57%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=8588831389617440999&target=facebook	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-postbadf.g	(from http://www.weddingstoryz.com/)
18:23:56	297/297	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:57%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=8588831389617440999&target=pinterest	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post49ee.g	(from http://www.weddingstoryz.com/)
18:23:57	97427/97427	---M-Z	200	added ('OK')	text/html	etag:%22a52f51f9-c301-498f-8530-08e552c0c400%22	http://www.weddingstoryz.com/2014/09/delhi-bride-wedding.html	D:/My%20Web%20Sites/wedding%20storyz/www.weddingstoryz.com/2014/09/delhi-bride-wedding.html	(from http://www.weddingstoryz.com/)
18:23:58	291/291	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:58%20GMT	http://www.blogger.com/post-edit.g?blogID=8182335901919555726&postID=8588831389617440999&from=pencil	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/post-edit652a.g	(from http://www.weddingstoryz.com/)
18:24:00	293/293	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:00%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=1509284290527105141&target=email	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-postd80c.g	(from http://www.weddingstoryz.com/)
18:24:01	292/292	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:01%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=1509284290527105141&target=blog	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-postddc3.g	(from http://www.weddingstoryz.com/)
18:24:02	295/295	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:03%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=1509284290527105141&target=twitter	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-postf99d.g	(from http://www.weddingstoryz.com/)
18:24:03	296/296	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:04%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=1509284290527105141&target=facebook	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post799b.g	(from http://www.weddingstoryz.com/)
18:24:04	297/297	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:05%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=1509284290527105141&target=pinterest	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-postb0ed.g	(from http://www.weddingstoryz.com/)
18:24:05	291/291	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:06%20GMT	http://www.blogger.com/post-edit.g?blogID=8182335901919555726&postID=1509284290527105141&from=pencil	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/post-editc8bb.g	(from http://www.weddingstoryz.com/)
